Номер,Название игры,VKplay,Youtube,Rutube,Обложка
1,Человек-Паук: Майлз Моралес,,https://www.youtube.com/watch?v=ZClWrrTwQVs&list=PLcgLfp-cBhJqfOqVUyKFMBtOf_vSpZDYE&pp=iAQB,https://rutube.ru/plst/1730505,https://images.igdb.com/igdb/image/upload/t_cover_big/cobg1j.webp
2,A Plague Tale: Requiem,,https://www.youtube.com/watch?v=oj-XsNB7Wds&list=PLcgLfp-cBhJpMlgE0PbTmCAqtTGJyqQjh&pp=iAQB,https://rutube.ru/plst/1730506,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pwb.webp
3,Alex Kidd in Miracle World DX,,https://www.youtube.com/watch?v=A1m5EkVV_u0&list=PLcgLfp-cBhJq7mnkKaikHSYHHfREDfh_E&pp=iAQB,https://rutube.ru/plst/1730510,https://images.igdb.com/igdb/image/upload/t_cover_big/co3c4f.webp
4,Assassin's Creed® Изгой Обновленная версия,,https://www.youtube.com/watch?v=WxgcZPs7xWk&list=PLcgLfp-cBhJofa1_zclc6UAzIDcvvk058&pp=iAQB,https://rutube.ru/plst/1730514,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xir.webp
5,Assassin's Creed® Синдикат,,https://www.youtube.com/watch?v=2nDu6NRzLDk&list=PLcgLfp-cBhJooFd7jBVyD6Ai4jaJG_rry&pp=iAQB,https://rutube.ru/plst/1730516,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xis.webp
6,Balan Wonderworld,,https://www.youtube.com/watch?v=LMDTq6sFsTQ&list=PLcgLfp-cBhJprOZMt0Gk5WJRSYapyKGdP&pp=iAQB,https://rutube.ru/plst/1730648,https://images.igdb.com/igdb/image/upload/t_cover_big/co2xxs.webp
7,Battlefield™ 1,,https://www.youtube.com/watch?v=WilvByyQfLE&list=PLcgLfp-cBhJr6ZRaAquSkGHZ7yDUQyW0U&pp=iAQB,https://rutube.ru/plst/1730651,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n9d.webp
8,Bayonetta 3,,https://www.youtube.com/watch?v=CYeZgJa9BJQ&list=PLcgLfp-cBhJrXEgN_-yvSDbdouOXUQHZY&pp=iAQB,https://rutube.ru/plst/1730653,https://images.igdb.com/igdb/image/upload/t_cover_big/co4z2i.webp
9,Beyond: Two Souls™,,https://www.youtube.com/watch?v=H9fY8D-77kU&list=PLcgLfp-cBhJpld2NlDJBip5e7heV-Ypkr&pp=iAQB,https://rutube.ru/plst/1730656,https://images.igdb.com/igdb/image/upload/t_cover_big/co8r4w.webp
10,Burnout Paradise Remastered,,https://www.youtube.com/watch?v=zJ1iiur7A-U&list=PLcgLfp-cBhJrNPNmFjdEgVYnEb0TBjHVi&pp=iAQB,https://rutube.ru/plst/1730658,https://images.igdb.com/igdb/image/upload/t_cover_big/coajkt.webp
11,Call of Duty: Modern Warfare II,,https://www.youtube.com/watch?v=brAaImrBpfM&list=PLcgLfp-cBhJpr3eYHLeAX2vhTEeR3vzT7&pp=iAQB,https://rutube.ru/plst/1730659,https://images.igdb.com/igdb/image/upload/t_cover_big/co4sbw.webp
12,Call of Duty® Modern Warfare III (2023),,https://www.youtube.com/watch?v=ClEnLvQmLbw&list=PLcgLfp-cBhJptOtuX0QNa8iKRTpnVYzvn&pp=gAQBiAQB,https://rutube.ru/plst/1730660,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ctx.webp
13,Concrete Genie,,https://www.youtube.com/watch?v=WjTnDnlHXyA&list=PLcgLfp-cBhJq520lK7U9ifd16k_rpS_3C&pp=iAQB,https://rutube.ru/plst/1730665,https://images.igdb.com/igdb/image/upload/t_cover_big/co3u25.webp
14,Control Ultimate Edition DLC,,https://www.youtube.com/watch?v=MwqV0KBTGRY&list=PLcgLfp-cBhJoFhXyCEQLxABddzpW0aGae&pp=iAQB,https://rutube.ru/plst/1730666,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ewb.webp
15,Crash Bandicoot 4: Это вопрос времени,,https://www.youtube.com/watch?v=lGMcYxXoLBk&list=PLcgLfp-cBhJoYWXyb6nK1T7eIs7IbuWcE&pp=iAQB,https://rutube.ru/plst/1730667,https://images.igdb.com/igdb/image/upload/t_cover_big/co2hp4.webp
16,Dead Space 2023,,https://www.youtube.com/watch?v=H74osSTrRtE&list=PLcgLfp-cBhJrSIN-HbM1vbbFDFlekOpLj&pp=iAQB,https://rutube.ru/plst/1730673,https://images.igdb.com/igdb/image/upload/t_cover_big/cobkv5.webp
17,Deathloop,,https://www.youtube.com/watch?v=bKW77QvCDo0&list=PLcgLfp-cBhJq1-wfTqkh8sVUSj6hTPLo_&pp=iAQB,https://rutube.ru/plst/1730674,https://images.igdb.com/igdb/image/upload/t_cover_big/co4nzt.webp
18,Demon’s Souls,,https://www.youtube.com/watch?v=nWQUGdV5UAw&list=PLcgLfp-cBhJrDfOfIo96IEw4ZOgek_w8c&pp=iAQB,https://rutube.ru/plst/1730677,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kj9.webp
19,Deus Ex: Mankind Divided™,,https://www.youtube.com/watch?v=LhuO7xoC6fA&list=PLcgLfp-cBhJqJu8sHP4wJX-tz7C39tGJ9&pp=iAQB,https://rutube.ru/plst/1730681,https://images.igdb.com/igdb/image/upload/t_cover_big/co25jt.webp
20,DOOM,,https://www.youtube.com/watch?v=_Kv3bzn_5c8&list=PLcgLfp-cBhJpWgMK6HWy-kTQM4eK7phJp&pp=iAQB,https://rutube.ru/plst/1730686,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nc7.webp
21,Far Cry 4,,https://www.youtube.com/watch?v=5EREol92xFg&list=PLcgLfp-cBhJoK8hETraPFCXPvedk89iEX&pp=iAQB,https://rutube.ru/plst/1730690,https://images.igdb.com/igdb/image/upload/t_cover_big/co2npa.webp
22,Far Cry Primal,,https://www.youtube.com/watch?v=_r_YTfj_yfc&list=PLcgLfp-cBhJrGXKiso1ajh8bWa0gDZ2dT&pp=iAQB,https://rutube.ru/plst/1730691,https://images.igdb.com/igdb/image/upload/t_cover_big/co28ha.webp
23,Ghost of Tsushima: Iki Island,,https://www.youtube.com/watch?v=62dK_p0YZ1g&list=PLcgLfp-cBhJplE1ofc-OSMOJ8pYZORdmy&pp=iAQB,https://rutube.ru/plst/1730702,https://images.igdb.com/igdb/image/upload/t_cover_big/co3gl4.webp
24,God of War: Ragnarök,,https://www.youtube.com/watch?v=vNVlNV3tIb4&list=PLcgLfp-cBhJrO2MeHbD3_xinA8B_auCnB&pp=iAQB,https://rutube.ru/plst/1730705,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3d.webp
25,Hello Neighbor 2,,https://www.youtube.com/watch?v=VKWP1yEvsuc&list=PLcgLfp-cBhJpA8K8wCQuzaTGYVsgI4Rom&pp=iAQB,https://rutube.ru/plst/1730709,https://images.igdb.com/igdb/image/upload/t_cover_big/co81i8.webp
26,High on Life,,https://www.youtube.com/watch?v=m6FP3t5OEEQ&list=PLcgLfp-cBhJpxyzYV29bPCYvxCpNl9TPU&pp=iAQB,https://rutube.ru/plst/1730713,https://images.igdb.com/igdb/image/upload/t_cover_big/co67qo.webp
27,Horizon Zero Dawn: The Frozen Wilds dlc,,https://www.youtube.com/watch?v=PA0sySkFO_g&list=PLcgLfp-cBhJqR30KhZMft7BmyYWfrAIC4&pp=iAQB,https://rutube.ru/plst/1730721,https://images.igdb.com/igdb/image/upload/t_cover_big/co4hjg.webp
28,Hot Wheels Unleashed,,https://www.youtube.com/watch?v=quXNWTTcRRA&list=PLcgLfp-cBhJrlqk2adU3GoihH7VusBjeV&pp=iAQB,https://rutube.ru/plst/1730722,https://images.igdb.com/igdb/image/upload/t_cover_big/co2u4x.webp
29,Immortals Fenyx Rising,,https://www.youtube.com/watch?v=kOVJuKYcxGY&list=PLcgLfp-cBhJot5EINwTV0xY0NhB3-T-k4&pp=iAQB,https://rutube.ru/plst/1730724,https://images.igdb.com/igdb/image/upload/t_cover_big/co9kcb.webp
30,Kao the Kangaroo,,https://www.youtube.com/watch?v=5pNHsWPYhaw&list=PLcgLfp-cBhJovtZrizgo1UoNemrl1NFwr&pp=iAQB,https://rutube.ru/plst/1730726,https://images.igdb.com/igdb/image/upload/t_cover_big/co4kfg.webp
31,KILLZONE™: В ПЛЕНУ СУМРАКА,,https://www.youtube.com/watch?v=eY9x-nqGMEI&list=PLcgLfp-cBhJrq28VBc_z8qPxDaacTIPz9&pp=iAQB,https://rutube.ru/plst/1730728,https://images.igdb.com/igdb/image/upload/t_cover_big/co1v40.webp
32,Kingdom Hearts 0.2 : Birth by Sleep A fragmentary passage,,https://www.youtube.com/watch?v=hkwX4Sbp5yM&list=PLcgLfp-cBhJpFX1dVWaCu8fP15rfy3yPS&pp=iAQB,https://rutube.ru/plst/1730730,https://images.igdb.com/igdb/image/upload/t_cover_big/co8m20.webp
33,Kingdom Hearts Final Mix,,https://www.youtube.com/watch?v=RNYQIwPmqcw&list=PLcgLfp-cBhJqvDakAcAeMf368Kslyt01O&pp=iAQB,https://rutube.ru/plst/1730731,https://images.igdb.com/igdb/image/upload/t_cover_big/co8m1o.webp
34,Kingdom Hearts III Re Mind DLC,,https://www.youtube.com/watch?v=NmdT4YRO1_k&list=PLcgLfp-cBhJqWc4g89IynnRFw-m1mk8fZ&pp=iAQB,https://rutube.ru/plst/1730732,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xdl.webp
35,Kingdom Hearts RE: Chain of Memories,,https://www.youtube.com/watch?v=pMAs-5ffeb0&list=PLcgLfp-cBhJrOPpAxYI9p0i-Pn0n1usVn&pp=iAQB,https://rutube.ru/plst/1730734,https://images.igdb.com/igdb/image/upload/t_cover_big/co8m1q.webp
36,Kingdom Hearts: Birth by Sleep final mix,,https://www.youtube.com/watch?v=H-TZXdyBnc0&list=PLcgLfp-cBhJpoIwneDn5JkeAFNXok_Lv2&pp=iAQB,https://rutube.ru/plst/1730735,https://images.igdb.com/igdb/image/upload/t_cover_big/co8m1t.webp
